    pL,                   dL,                      pR,              dR,                     du,                     PI,                DIL,          DIR
      0.001000        0.001000        0.999000        0.999000        8.400000        0.000000        0.000000        0.000025
      0.001000        0.001000        0.999000        0.999000        8.500000        0.000000        0.000000        0.000019
      0.001000        0.001000        0.999000        0.999000        8.600000        0.000000        0.000000        0.000013
      0.001000        0.001000        0.999000        0.999000        8.700000        0.000000        0.000000        0.000009
      0.001000        0.001000        0.999000        0.999000        8.800000        0.000000        0.000000        0.000006
      0.001000        0.001000        0.999000        0.999000        8.900000        0.000000        0.000000        0.000004
      0.001000        0.001000        0.999000        0.999000        9.000000        0.000000        0.000000        0.000002
      0.001000        0.001000        0.999000        0.999000        9.100000        0.000000        0.000000        0.000001
      0.001000        0.001000        0.999000        0.999000        9.200000        0.000000        0.000000        0.000001
      0.001000        0.001000        0.999000        0.999000        9.300000        0.000000        0.000000        0.000000
      0.001000        0.001000        0.999000        0.999000        9.400000        0.000000        0.000000        0.000000
      0.001000        0.001000        0.999000        0.999000        9.500000        0.000000        0.000000        0.000000
      0.001000        0.001000        0.999000        0.999000        9.600000        0.000000        0.000000        0.000000
      0.001000        0.100000        0.999000        0.900000      -10.000000        7.449633        0.599531        2.421129
      0.001000        0.100000        0.999000        0.900000       -9.900000        7.311445        0.599522        2.406737
      0.001000        0.100000        0.999000        0.900000       -9.800000        7.174632        0.599513        2.392137
      0.001000        0.100000        0.999000        0.900000       -9.700000        7.039196        0.599503        2.377327
      0.001000        0.100000        0.999000        0.900000       -9.600000        6.905135        0.599494        2.362305
      0.001000        0.100000        0.999000        0.900000       -9.500000        6.772449        0.599484        2.347069
      0.001000        0.100000        0.999000        0.900000       -9.400000        6.641138        0.599473        2.331617
      0.001000        0.100000        0.999000        0.900000       -9.300000        6.511201        0.599463        2.315946
      0.001000        0.100000        0.999000        0.900000       -9.200000        6.382638        0.599452        2.300054
      0.001000        0.100000        0.999000        0.900000       -9.100000        6.255448        0.599441        2.283940
      0.001000        0.100000        0.999000        0.900000       -9.000000        6.129632        0.599430        2.267602
      0.001000        0.100000        0.999000        0.900000       -8.900000        6.005188        0.599418        2.251037
      0.001000        0.100000        0.999000        0.900000       -8.800000        5.882117        0.599406        2.234245
      0.001000        0.100000        0.999000        0.900000       -8.700000        5.760417        0.599393        2.217223
